,Quality Momentum Univ Part I 4bn MktCap / 100k Liq,,,,,,,,,
,28/01/2026,,,,,,,,,
,,,,,,,,,,
,#,Ticker,Name,Last,MktCap,SectorCode,SubSectorCode,IndCode,EarnYield,FCFYield
,155,AMBA:USA,"Ambarella, Inc.",66.35,"2,856.24",TECH,ELECTRONIC,SEMIMFR,-2.84,2.26
,156,AMBP:USA,Ardagh Metal Packaging SA,4.44,"2,653.79",MATERIALS,MFRPROD,PACKAGING,-0.3,11.64
,157,AMBQ:USA,"Ambiq Micro, Inc.",31.37,572.14,TECH,ELECTRONIC,SEMIMFR,-6.29,-3.76
,158,AMC:USA,"AMC Entertainment Holdings, Inc.",1.45,743.77,CONSUMERSVCE,HOSPITALITYSS,HOSPITALITY,-97.53,-44.89
,159,AMCI:USA,AMC Robotics Corp.,6.16,23.75,FINANCIAL,INVESTSVCESS,INVESTSVCE,-9.02,-0.05
,160,AMCX:USA,"AMC Networks, Inc.",7.77,337.65,CONSUMERSVCE,MEDIAPUBSS,MEDIAPUB,-48.2,60.89
,161,AMIX:USA,"Autonomix Medical, Inc.",0.42,2.62,HEALTHCARE,HCAREEQUIP,MEDDEVICESOTHER,"-1,229.01",-491.48
,162,AMLX:USA,"Amylyx Pharmaceuticals, Inc.",15.47,"1,698.09",HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-11.63,-10.7
,163,AMN:USA,"AMN Healthcare Services, Inc.",20.88,800.35,HEALTHCARE,HCARESVCE,HCARESUPPORT,-34.47,27.58
,164,AMOD:USA,"Alpha Modus Holdings, Inc.",0.93,39.2,CYCLICALS,RETAILMISC,RETAILOTHER,N/A,N/A
,165,AMPG:USA,"AmpliTech Group, Inc.",3.38,69.82,TECH,HW,TECHDISTRIB,-15.1,-17.39
,166,AMPH:USA,"Amphastar Pharmaceuticals, Inc.",26.25,"1,216.66",HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,8.59,8.87
,167,AMPL:USA,"Amplitude, Inc.",10.03,"1,341.06",TECH,SOFTWTECH,SOFTW,-7.92,1.04
,168,AMPX:USA,"Amprius Technologies, Inc.",11.58,"1,510.54",INDUSTRIAL,INDMFR,ELECTREQUIP,-2.25,-2.19
,169,AMPY:USA,Amplify Energy Corp.,4.78,193.48,ENERGY,UPSTREAMENERGY,FOSSILFUEL,-14.47,-12.06
,170,AMR:USA,"Alpha Metallurgical Resources, Inc.",221.33,"2,859.43",ENERGY,UPSTREAMENERGY,COAL,-1.61,1.44
,171,AMRC:USA,"Ameresco, Inc.",33.02,"1,741.88",BIZSVCE,BIZSVCESS,BIZSUPPORT,3.58,-22.65
,172,AMRX:USA,"Amneal Pharmaceuticals, Inc.",13.83,"4,346.92",HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,0.1,5.26
,173,AMSC:USA,American Superconductor Corp.,32.17,"1,453.66",INDUSTRIAL,INDMFR,ELECTREQUIP,1.16,1.34
,174,AMSF:USA,"AMERISAFE, Inc.",36.73,697.59,FINANCIAL,INSURANCESS,INSURANCE,7.11,1.33
,175,AMTB:USA,"Amerant Bancorp, Inc.",20.85,860.38,FINANCIAL,BANKS,BANKSUSA,7.6,19.26
,176,AMTX:USA,"Aemetis, Inc.",1.6,104,MATERIALS,CHEM,CHEMCOMMOD,-100,-30.72
,177,AMWD:USA,American Woodmark Corp.,58.62,854.04,CYCLICALS,CONSUMERGOODS,APPLIANCESFURN,7.21,6.92
,178,AMWL:USA,American Well Corp.,4.64,75.72,HEALTHCARE,HCARESVCE,HCARESUPPORT,-155.15,-85.67
,179,AMZE:USA,"Amaze Holdings, Inc.",0.52,3.35,NONCYCLICAL,FOODPRODUCTION,FOODDRINKMFR,"-1,373.28",-324.02
,180,ANAB:USA,"AnaptysBio, Inc.",49.73,"1,371.31",HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-5.67,-10.08
,181,ANDE:USA,"The Andersons, Inc.",60.63,"2,074.21",NONCYCLICAL,FOODPRODUCTION,AGRICULTURE,3.53,11.28
,182,ANDG:USA,"Andersen Group, Inc.",23.56,259.16,BIZSVCE,BIZSVCESS,PROSVCE,21.61,N/A
,183,ANF:USA,Abercrombie & Fitch Co.,97.67,"4,478.76",CYCLICALS,CONSUMERRETAIL,APPARELRETAIL,10.68,8.22
,184,ANGI:USA,"Angi, Inc.",13.36,583.66,TECH,SOFTWTECH,INTERNET,5.52,10.15
,185,ANGO:USA,"AngioDynamics, Inc.",10.24,425.72,HEALTHCARE,HCAREEQUIP,MEDDEVICESGEN,-6.57,-3.59
,186,ANGX:USA,"Angel Studios, Inc.",4.18,704.88,CONSUMERSVCE,MEDIAPUBSS,MEDIAPUB,-26.66,-10.49
,187,ANIK:USA,"Anika Therapeutics, Inc.",9.15,131.95,HEALTHCARE,HCAREEQUIP,MEDDEVICESGEN,-24.9,0.49
,188,ANIP:USA,"ANI Pharmaceuticals, Inc.",80.45,"1,807.94",HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,2.03,8.02
,189,ANIX:USA,"Anixa Biosciences, Inc.",3.08,101.68,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-10.93,-7.05
,190,ANNX:USA,"Annexon, Inc.",6.57,756.36,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-21.43,-18.02
,191,ANPA:USA,Rich Sparkle Holdings Ltd.,72.12,901.5,BIZSVCE,BIZSVCESS,MKTINGPRINTING,0.01,0.01
,192,ANRO:USA,"Alto Neuroscience, Inc.",16.81,456.7,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-13.69,-11.81
,193,ANSC:USA,Agriculture & Natural Solutions Acquisition Corp.,11.22,483.86,FINANCIAL,INVESTSVCESS,INVESTSVCE,1.82,0
